path,balance_y1,rate_y1,rate_shift,core_ratio,eve_path,nii_path,dEVE_path,dNII_path,worst_dEVE,worst_dNII
343,20169.961917420558,0.02744221940970553,-0.010057780590294468,0.8889021167330473,20089.063468673157,560.2318089551195,1535.7571128632262,-145.23467947699737,1478.862129043846,-548.6339178254086
344,18749.503271056295,0.03239712041341547,-0.005102879586584529,0.7910394870868552,18670.628141998903,612.9916548814226,117.3217861889716,-92.47483355069426,70.44417265295851,-467.46489897182016
345,20455.210179268193,0.048841937049623634,0.011341937049623635,0.8042403739882938,20324.918976226152,1005.2410563563888,1771.612620416221,299.7745679242719,1720.7015131400804,-109.32963566109208
346,24881.718851406495,0.029333766238206313,-0.008166233761793686,0.8182600516122519,24783.515019459428,737.5092680231569,6230.208663649497,32.042779591040016,6165.652237420498,-465.5915974370899
347,20346.542669313727,0.03717113515869073,-0.0003288648413092704,0.9642460050615342,20227.70753540798,763.6610951390986,1674.4011795980477,58.194606706981745,1612.9993550975305,-348.7362466792926
348,18140.754609219814,0.04461077922990204,0.0071107792299020395,0.8102943832753492,18034.12330042355,814.7853474219129,-519.1830553863801,109.31885898979601,-564.9083368903448,-253.49623319460028
349,16670.077356284168,0.04013704184846072,0.002637041848460718,0.9310261490002437,16568.725842286774,674.9075822848439,-1984.5805135231567,-30.558906147272978,-2033.002490582472,-363.9604532729564
350,19850.7320205503,0.03693237184732934,-0.0005676281526706614,0.8818071922239521,19745.1988440024,739.6986817452791,1191.8924881924686,34.23219331316227,1137.0032007295958,-362.7824470978438
351,22667.38519705855,0.055294924122830436,0.017794924122830437,0.8694675408600205,22491.718089119237,1260.7819076329365,3938.4117333093054,555.3154192008196,3878.0023087619593,101.96771525964846
352,15698.382055052878,0.03708358397710861,-0.000416416022891386,0.9570833824418724,15607.572688666662,587.7864062170071,-2945.7336671432695,-117.68008221510979,-2992.767672868724,-431.64772331616734
353,19604.786941850325,0.046960075278979274,0.009460075278979276,0.781425787183627,19487.907643844796,926.3870399688502,934.6012880348644,220.92055153673334,887.0503597704665,-171.17518730027336
354,26068.95384572899,0.034057302136527974,-0.0034426978634720246,0.8432646569450686,25946.369794683367,896.0817107489493,7393.063438873436,190.6152223168324,7323.81926800279,-330.7638545977474
355,17280.403088513875,0.03730506882186869,-0.00019493117813131067,0.8366870102057502,17192.291211892774,650.0683782098893,-1361.0151439171568,-55.398110222227615,-1406.3771784902856,-401.0061719925051
356,20668.6095443788,0.03979284733853067,0.0022928473385306694,0.8819905638876473,20550.441063216895,829.298759395738,1997.1347074069636,123.83227096362111,1940.1785909395658,-289.539919923955
357,19133.408901412822,0.047844276689989154,0.010344276689989156,0.8159651510716215,19012.238032941616,921.2785675030212,458.9316771316844,215.81207907090436,410.57025166552194,-166.85609895735195
358,24218.308434204188,0.059087714193627044,0.021587714193627046,0.9441360808890011,24001.40540832666,1439.5788355220755,5448.099052516729,734.1123470899586,5378.449174656813,249.74617840587473
359,24024.705157712826,0.03483795283442328,-0.0026620471655767197,0.8349542017343577,23910.328329148604,844.4937204762902,5357.021973338673,139.02723204417327,5293.886761400365,-341.46687111008333
360,17771.06960097957,0.03576978487031709,-0.0017302151296829105,0.8868772331733747,17678.970883779763,641.5775042560736,-874.3354720301686,-63.88898417604332,-923.8242960545613,-419.31037619563483
