Date,Balance,days_since_start,fitted_decay,kalman_core,quantile_10,volatility_core_95,hp_trend
2023-01-31,19115.255873806505,2222,19300.229896717192,19068.83645375537,17321.434403665233,18448.896883240344,18734.44975851383
2023-02-01,18878.614228273174,2223,19302.876658775163,19050.741579398942,17324.773687014545,18448.6758073131,18728.42577467268
2023-02-02,18907.070091265792,2224,19305.522317096948,19037.074840300604,17328.112970363854,18449.004881860663,18722.229158750717
2023-02-03,18905.200368599955,2225,19308.166872142825,19024.530291469913,17331.452253713163,18448.67146715171,18715.8892450356
2023-02-04,18820.94803283957,2226,19310.810324372866,19005.164545002717,17334.791537062476,18447.773941752283,18709.43679405675
2023-02-05,18711.57629341393,2227,19313.452674246968,18977.23698547829,17338.130820411785,18444.666522401163,18702.904027077573
2023-02-06,18605.09758448961,2228,19316.093922224827,18941.837253996346,17341.470103761098,18439.045108920658,18696.324025787693
2023-02-07,18715.96468725948,2229,19318.734068765945,18920.351143709773,17344.809387110407,18436.806724062975,18689.729938792385
2023-02-08,18663.881428498145,2230,19321.373114329643,18895.954482061956,17348.14867045972,18434.318485296055,18683.154210789184
2023-02-09,18614.419278840487,2231,19324.011059375036,18869.173467823002,17351.487953809028,18429.458501973415,18676.62948890425
2023-02-10,18553.019105460226,2232,19326.647904361063,18839.099308771976,17354.827237158337,18424.177580225576,18670.188271553998
2023-02-11,18439.965712649744,2233,19329.28364974646,18801.131756584244,17358.16652050765,18416.781871703635,18663.86257713778
2023-02-12,18330.184894458172,2234,19331.918295989773,18756.332973071305,17361.505803856962,18405.211725608428,18657.6835199719
2023-02-13,18302.71357930873,2235,19334.55184354936,18713.182463634424,17364.84508720627,18391.878894976082,18651.68048677338
2023-02-14,18251.9174376354,2236,19337.184292883394,18669.304664027622,17368.18437055558,18375.10321529381,18645.880337263698
2023-02-15,18233.57157319278,2237,19339.815644449845,18627.85558776112,17371.523653904893,18356.71404293811,18640.307238518424
2023-02-16,18184.109423535123,2238,19342.445898706497,18585.644268513526,17374.862937254202,18335.956924664402,18634.98231777595
2023-02-17,18367.594173012018,2239,19345.075056110945,18564.902270192848,17378.20222060351,18324.223177736054,18629.923563882192
2023-02-18,18258.044216806087,2240,19347.70311712059,18535.7124218078,17381.541503952823,18308.873131324046,18625.145486725534
2023-02-19,18160.00986919576,2241,19350.330082192642,18499.97374580571,17384.880787302136,18289.260243464516,18620.660572047847
2023-02-20,18176.10238071279,2242,19352.955951784126,18469.165507472117,17388.220070651445,18271.214720839853,18616.478473019455
2023-02-21,18135.44284108918,2243,19355.58072635187,18437.420164871983,17391.559354000754,18251.95654806239,18612.60528840712
2023-02-22,18136.96924547118,2244,19358.204406352514,18408.839794607415,17394.898637350067,18232.98675750911,18609.043719013927
2023-02-23,18163.306534587497,2245,19360.82699224251,18385.483462406366,17398.237920699376,18216.208215225088,18605.792783833956
2023-02-24,18687.17134168363,2246,19363.44848447811,18414.181498382666,17401.577204048685,18214.513399110874,18602.847859311343
2023-02-25,18559.23358666577,2247,19366.068883515396,18427.979566962546,17404.916487397997,18210.367776519626,18600.200907644474
2023-02-26,18449.501923883337,2248,19368.688189810237,18430.0268794853,17408.25577074731,18203.819821305147,18597.844541675884
