Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
780,4.533323209115821e-07,2.751150172118726e-10,1.555141094530144e-13
781,4.4492200393599735e-07,2.674590293434941e-10,1.497438482369352e-13
782,4.3666771693746693e-07,2.600160947312947e-10,1.4418768923073845e-13
783,4.2856656521489804e-07,2.527802844617561e-10,1.3883768829557844e-13
784,4.206157077703041e-07,2.4574583461304404e-10,1.3368619605529323e-13
785,4.1281235631249324e-07,2.389071416635673e-10,1.287258469594057e-13
786,4.0515377427924075e-07,2.3225875802830886e-10,1.2394954875193522e-13
787,3.976372758776024e-07,2.2579538771937374e-10,1.1935047233096328e-13
788,3.902602251420319e-07,2.1951188212729608e-10,1.1492204198445404e-13
789,3.830200350099726e-07,2.1340323591974553e-10,1.1065792598836902e-13
790,3.75914166414599e-07,2.074645830543658e-10,1.0655202755363333e-13
791,3.6894012739438956e-07,2.01691192902569e-10,1.0259847610900966e-13
792,3.6209547221921925e-07,1.9607846648119859e-10,9.879161890741592e-14
793,3.55377800532665e-07,1.9062193278905835e-10,9.512601294368588e-14
794,3.48784756510223e-07,1.8531724524539013e-10,9.159641717221644e-14
795,3.4231402803314355e-07,1.8016017822746217e-10,8.81977850133747e-14
796,3.3596334587759205e-07,1.7514662370451105e-10,8.492525713795047e-14
797,3.2973048291885396e-07,1.7027258796535503e-10,8.177415451933744e-14
798,3.2361325335030293e-07,1.6553418843707253e-10,7.873997174350924e-14
799,3.176095119168588e-07,1.609276505922114e-10,7.581837056722488e-14
800,3.117171531626668e-07,1.5644930494206545e-10,7.300517371525334e-14
801,3.059341106927339e-07,1.5209558411362275e-10,7.029635890774854e-14
802,3.0025835644826353e-07,1.4786302000785794e-10,6.768805310923502e-14
803,2.9468789999543423e-07,1.437482410371042e-10,6.517652699098186e-14
804,2.892207878273733e-07,1.3974796943930455e-10,6.275818959884686e-14
805,2.8385510267908015e-07,1.3585901866700306e-10,6.042958321896736e-14
806,2.7858896285505943e-07,1.3207829084899614e-10,5.81873784339566e-14
807,2.734205215694282e-07,1.2840277432262148e-10,5.602836936253711e-14
